Locus Tag	gene	0hr_r1	0hr_r2	0hr_r3	0hr (Avg)	2hr_r1	2hr_r2	2hr_r3	2hr (Avg)	4hr_r1	4hr_r2	4hr_r3	4hr (Avg)	8hr_r1	8hr_r2	8hr_r3	8hr (Avg)	16hr_r1	16hr_r2	16hr_r3	16hr (Avg)	24hr_r1	24hr_r2	24hr_r3	24hr (Avg)
SL1344_0067	carA	47.91	43.49	52.19	47.87	43.49	63.86	43.29	50.21	38.05	66.15	24.94	43.05	15.73	40.3	23.14	26.39	19.78	21.14	7.94	16.29	7.36	10.35	12.16	9.96
SL1344_0068	carB	17.05	13.59	18.3	16.31	64.46	68.15	89.32	73.98	88.74	106.34	25.73	73.61	44.76	53.17	16.47	38.13	21.11	17.64	8.85	15.87	8.47	6.86	8.3	7.88
SL1344_0069	caiF	7.43	6.17	3.3	5.63	0	0	0	0	24.58	7.12	7.25	12.98	15.24	19.52	22.42	19.06	10.45	6.36	7.69	8.17	7.13	10.25	13.85	10.41
SL1344_0070	caiE	1.23	0	0	0.41	0	0	0	0	0	0	0	0	0	0	0	0	1.73	0	0	0.58	4.73	0.91	2.53	2.72
SL1344_0071	caiD	0	0	0.55	0.18	53	7.78	0	20.26	0	0	3.65	1.22	0	0	0	0	0	0	0	0	3.59	3.1	4.08	3.59
SL1344_0072	caiC	0.94	3.53	0.56	1.68	5.36	3.93	0	3.1	0	0	0	0	3.88	1.24	0	1.71	1.33	0.54	1.96	1.27	2.72	2.61	5.71	3.68
SL1344_0073	caiB	0.58	2.4	1.37	1.45	0	4.81	23.46	9.42	3.82	0	2.25	2.02	0	3.03	4.64	2.56	0.81	3.29	3.35	2.48	2.66	2.76	4.45	3.29
SL1344_0074	caiA	3.21	3.73	2.66	3.2	14.57	10.7	0	8.42	17	12.32	0	9.77	0	3.38	7.75	3.71	8.13	5.86	6.39	6.79	14.3	14.42	14.86	14.53
SL1344_0075	caiT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95	0.65	0	0.55	0.8	0.45	0.74	1.07	1.49	1.1
SL1344_0076	fixA	4.76	0	0	1.59	0	7.93	0	2.64	0	0	0	0	0	0	0	0	5.36	1.09	0	2.15	3.66	2.81	1.96	2.81
