Locus Tag	Name	Anaerobic growth	Anaerobic shock
SL1344_0331	stbE	7.3	7.7
SL1344_0332	stbD	4.1	5.7
SL1344_0333	stbC	3.2	6.8
SL1344_0334	stbB	0.5	0.2
SL1344_0335	stbA	0	0.8
SL1344_0336		55.3	25.4
SL1344_0337		11	11.7
STnc1700		87.6	10.4
SL1344_0338		7.7	7.1
SL1344_0339		33.6	31.7
SL1344_0340		21.8	14.6
SL1344_0341		0.8	1.1
SL1344_0342		1.2	1.3
SL1344_0343		1.8	1.9
SL1344_0344		3.6	10.3
SL1344_0345		1.4	2.3
SL1344_0346		0.6	1
SL1344_0347		0.4	0.7
SL1344_0348		1	3.4
SL1344_0349		3.1	5.2
SL1344_0350		24.9	30.7
SL1344_0351		6.2	8
SL1344_0352	mod	14.2	17.1
SL1344_0353	res	12.9	14.4
SL1344_0354		55.4	16.8
SL1344_0355		11.4	5.4
SL1344_0356		23.9	14.4
SL1344_0357		10.5	3.2
SL1344_0358		9.9	6.5
SL1344_0359	foxA	4.6	5.5
SL1344_0360	yahN	65.8	175.2
SL1344_0361	yahO	62.4	55.8
SL1344_0362	prpR	2.7	2.6
SL1344_0363	prpB	0.9	1
STnc3280		70.2	152.5
SL1344_0364	prpC	1.6	3.4
SL1344_0365	prpD	1	2.3
SL1344_0366	prpE	2.2	2.8
SL1344_0367	hemB	38.8	36.3
SL1344_0368	yaiU	23.3	29.1
SL1344_0369	yaiV	23.8	34.8
SL1344_0370	ampH	13.4	21.5
SL1344_0371	sbmA	11.6	10.2
SL1344_0372	yaiW	15.6	10.3
SL1344_0373	yaiY	9.4	8.8
SL1344_0374	yaiZ	121	312.5
SL1344_0375	ddlA	24	30.8
SL1344_0376		9	4.4
SL1344_0377		4.4	6.8
SL1344_0378	yaiB	344.5	489.1
STnc4150		44.5	50.5
SL1344_0379	psiF	97.4	54.7
SL1344_0380	adrA	14.4	10.4
SL1344_0381	proC	40.1	38.9
SL1344_0382	yaiI	20.2	16.6
SL1344_0383	aroL	31.3	39.7
SL1344_0384	yaiA	93.8	104.1
SL1344_0385	aroM	21.9	38.9
SL1344_0386	yaiE	139.2	223.4
SL1344_0387	rdgC	25.9	23.3
SL1344_0388	yajF	25.7	31.4
SL1344_0389	araJ	9.3	11.4
SL1344_0390	sbcC	5.9	6.8
SL1344_0391	sbcD	5.5	8.7
SL1344_0392	phoB	50.7	48.2
SL1344_0393	phoR	18.8	14.1
SL1344_0394	brnQ	56.6	56.3
SL1344_0395	proY	12.8	12
SL1344_0396	malZ	6.4	8.1
SL1344_0397	tsaA	271.1	159.5
SL1344_0398	yajB	109	87.3
SL1344_0399	queA	11.6	14.1
SL1344_0400	tgt	42.9	66.2
SL1344_0401	yajC	144.4	205.7
SL1344_0402	secD	72.7	95.5
SL1344_0403	secF	55.7	55.7
SL1344_0404		18.7	25
SL1344_0405		10.4	14
SL1344_0406	yajD	116.3	109.9
