Locus Tag	gene	24hr_r1	24hr_r2	24hr_r3	24hr (Avg)
SL1344_3541	zntA	141.6	150	180.79	157.46
SL1344_3542	tcp	27.26	20.05	23.19	23.5
SL1344_3543	yhhP	73.58	78.25	100.07	83.97
SL1344_3544	yhhQ	7.2	12.18	12.76	10.71
SL1344_3545		79.9	90.17	85.67	85.24
SL1344_3546	yhhS	13.19	16.64	15.19	15.01
SL1344_3547	yhhT	2.95	4.63	8.63	5.41
SL1344_3548	acpT	31.67	27.56	26.76	28.66
SL1344_3549	nikR	30.9	28.95	23.05	27.64
SL1344_3550	yhhJ	3.26	4.56	4.53	4.12
SL1344_3551	yhiH	11.2	13.1	13	12.44
SL1344_3552	yhiI	13.73	11.39	12.2	12.44
STnc770	STnc770	20.38	33.75	31.02	28.38
SL1344_3553	yhiN	9.18	12.42	13.72	11.77
SL1344_3554	pitA	14.36	16.72	21.84	17.64
SL1344_3555	uspB	24.38	30.63	50.11	35.04
SL1344_3556	uspA	83.07	80.26	73.44	78.92
SL1344_3557	yhiP	4.4	5.32	4.48	4.73
SL1344_3558	yhiQ	5.57	5.34	6.97	5.96
SL1344_3559	prlC	11.86	10.98	14.41	12.42
SL1344_3560		24.38	20.82	26.86	24.02
SL1344_3561	yhiR	29.1	25.01	30.91	28.34
SL1344_3562	gor	24.58	24.57	27.76	25.64
SL1344_3563		15.66	15.53	16.82	16
SL1344_3564		3.63	5.53	5.15	4.77
SL1344_3565		3	3.52	2.9	3.14
SL1344_3566		6.63	6.91	8.88	7.47
SL1344_3567		9.4	10.14	8.66	9.4
SL1344_3568	treF	11.96	11.3	13.84	12.36
SL1344_3569		4.79	4.76	6.88	5.48
SL1344_3570		3.16	4.55	3.71	3.81
SL1344_3571	yhjB	2.81	2.69	4.39	3.29
SL1344_3572	yhjC	12.53	9.61	13.64	11.93
SL1344_3573	yhjD	3.84	3.41	3.85	3.7
SL1344_3574	yhjE	6.82	5.92	7.85	6.86
SL1344_3575	yhjG	10.25	8.78	9.52	9.52
SL1344_3576	yhjH	4.04	4.22	5.41	4.56
SL1344_3577	kdgK	6.67	6.98	6.7	6.78
SL1344_3578	yhjJ	19.32	20.52	23.34	21.06
SL1344_3579	dctA	8.54	7.56	10.71	8.94
SL1344_3580	yhjK	7.34	5.77	7.47	6.86
SL1344_3581	yhjL	9.86	9.45	8.89	9.4
SL1344_3582	bcsC	21.08	19.97	13.43	18.16
SL1344_3583	yhjN	13.47	11.27	11.15	11.96
SL1344_3584	bcsA	10.41	10.5	10.64	10.52
SL1344_3585	yhjQ	28.47	30.16	27.09	28.57
SL1344_3586	yhjR	9.71	15.96	13.01	12.89
SL1344_3587	yhjS	20.62	18.56	20.53	19.9
SL1344_3588	yhjT	17.7	9.9	7.9	11.83
SL1344_3589	yhjU	9.9	8.85	8.54	9.09
STnc710	STnc710	179.24	163.65	200.03	180.97
SL1344_3590		28.17	29.16	40.74	32.69
SL1344_3591	yhjV	13.24	18.1	19.03	16.79
SL1344_3592	dppF	3.61	5.33	7.07	5.34
SL1344_3593	dppD	8.31	7.97	8.63	8.3
SL1344_3594	dppC	12.18	12.57	11.5	12.08
SL1344_3595	dppB	8.57	5.83	8.88	7.76
SL1344_3596	dppA	25.16	23.95	23.27	24.13
SL1344_3597		0.64	0.82	0.85	0.77
SL1344_3598		2.51	4.32	6.04	4.29
SL1344_3599		8.67	8.04	12.92	9.88
tRNA_38	tRNA_38	424.41	310.7	266.11	333.74
SL1344_3600	yhjW	31.65	33.05	33.35	32.68
SL1344_3601	lpfE	13.9	13.32	10.02	12.41
SL1344_3602	lpfD	6.06	11.62	9	8.89
SL1344_3604	lpfC	4.01	1.92	2.31	2.75
SL1344_3605	lpfB	2.02	1.16	0.54	1.24
SL1344_3606	lpfA	3.15	9.07	5.63	5.95
SL1344_3607	yhjY	6.4	6.14	6.16	6.23
SL1344_3608	tag	18.42	14.41	18.5	17.11
SL1344_3609	yiaC	4.48	6.75	9.86	7.03
SL1344_3610	bisC	12.19	10.53	12.13	11.62
SL1344_3611	yiaD	21.05	18.46	12.59	17.37
SL1344_3612	yiaE	6.65	7.21	6.78	6.88
SL1344_3613	yiaF	31.74	37.65	35.86	35.08
SL1344_3614	yiaG	19.42	27	31.87	26.1
SL1344_3615	cspA	3622.1	3855.84	3747.46	3741.8
SL1344_3616		27.08	23.37	34	28.15
STnc780	STnc780	376.4	480.58	501.2	452.73
SL1344_3617		259.59	315.11	286.2	286.97
SL1344_3618		302.27	305.77	351.57	319.87
SL1344_3619	yafP	4.82	3.47	5.65	4.65
SL1344_3620	glyS	28.86	27.93	25.71	27.5
SL1344_3621	glyQ	29.99	31.42	34.78	32.06
SL1344_3622		7.46	3.58	13.11	8.05
SL1344_3623	yiaH	1.7	2.44	3.98	2.71
SL1344_3624	yiaB	6.38	2.29	7.48	5.39
SL1344_3625	xylB	18.21	17.08	18.55	17.95
SL1344_3626	xylA	27.06	24.51	23.11	24.89
SL1344_3627	xylR	1.43	1.38	3.04	1.95
SL1344_3628	bax	189.37	173.35	193.18	185.3
SL1344_3629	malS	1.53	1.07	1.77	1.45
SL1344_3630	avtA	14.87	14.47	18.71	16.02
SL1344_3631	ysaA	8.34	17.7	15.15	13.73
SL1344_3632	yiaJ	11.27	14.85	12.73	12.95
SL1344_3633	yiaK	2.54	2.44	2.83	2.6
SL1344_3634	yiaL	0.61	1.75	2.85	1.73
SL1344_3635		4.53	3.77	3.64	3.98
SL1344_3636	yiaM	4.76	0.57	1.59	2.31
SL1344_3637	yiaN	1.76	0.85	1.03	1.21
SL1344_3638	yiaO	0.86	0.55	0.96	0.79
SL1344_3639	lyxK	0.56	1.44	1.64	1.22
SL1344_3640	sgbH	1.28	0.82	1.99	1.36
SL1344_3641	sgbU	1.31	1.26	2.41	1.66
SL1344_3642	sgbE	0.84	2.01	1.69	1.51
SL1344_3643		3.46	1.33	2.78	2.52
SL1344_3644		2.59	2.21	3.38	2.73
SL1344_3645	aldB	67.76	63.73	58.37	63.29
SL1344_3646		9.27	20.23	12.42	13.97
SL1344_3647	selB	16.14	16.93	17.43	16.83
SL1344_3648	selA	12.55	8.74	15.32	12.2
SL1344_3649	yibF	19.92	13.77	22.95	18.88
SL1344_3650	mtlA	10.73	10.43	8.56	9.91
SL1344_3651	mtlD	33.61	34.34	28.42	32.12
SL1344_3652	mtlR	56.33	69.11	79.6	68.34
SL1344_3653		5.39	3.88	4.51	4.59
SL1344_3654	yibL	11.67	14.92	16.67	14.42
SL1344_3655		1.24	4.35	2.76	2.78
SL1344_3656	sadA	3.79	2.71	4.21	3.57
SL1344_3657	lctP	3.91	4.57	7.75	5.41
SL1344_3658	lctR	2.54	3.48	1.22	2.41
SL1344_3659	lctD	3.08	2.5	3.01	2.86
SL1344_3660	yibK	16.08	14.84	17.94	16.29
SL1344_3661		9.54	8.34	13.71	10.53
SL1344_3662		1.88	2.03	1.73	1.88
SL1344_3663		7.17	5.5	7.04	6.57
SL1344_3664		2.1	6.05	14.07	7.41
SL1344_3665	cysE	45.28	38.15	41.35	41.59
SL1344_3666	gpsA	37.04	33.92	30.72	33.89
SL1344_3667	secB	97.1	89.04	91.67	92.61
SL1344_3668	grxC	105.48	104.35	85.66	98.5
SL1344_3669	yibN	60.12	54.5	59.95	58.19
SL1344_3670	pmgI	33.75	32.7	34.69	33.71
SL1344_3671	yibP	20.64	19.57	21.76	20.65
SL1344_3672	yigQ	5.27	6.46	5.29	5.67
SL1344_3673	yibD	22.61	23.76	18.97	21.78
SL1344_3673A		68.64	103.83	108.57	93.68
SL1344_3674	tdh	25.83	25.29	27.05	26.06
SL1344_3675	kbl	24.02	22.8	18.29	21.71
SL1344_3676	rfaD	37.17	51.28	36.83	41.76
SL1344_3677	rfaF	11.31	7.23	12.08	10.21
SL1344_3678	rfaC	6.21	6.52	7.52	6.75
SL1344_3679	rfaL	7.66	6.89	7.77	7.44
SL1344_3680	rfaK	8.81	10.33	10.27	9.8
SL1344_3681	rfaZ	7.31	12.02	8.86	9.4
SL1344_3682	rfaY	9.66	10.72	9.53	9.97
SL1344_3683	rfaJ	6.69	8.55	9.34	8.19
SL1344_3684	rfaI	24.19	23.19	27.37	24.92
SL1344_3685	rfaB	16.71	19.02	17.13	17.62
SL1344_3686	yibR	36.26	37.08	40.47	37.94
SL1344_3687	rfaP	22.62	26.76	21.53	23.64
SL1344_3688	rfaG	31.07	30.51	29.2	30.26
SL1344_3689	rfaQ	31.87	35.51	33.74	33.71
SL1344_3690	kdtA	30	26.09	28.81	28.3
SL1344_3691	coaD	15.88	20.86	18.9	18.54
SL1344_3692	mutM	17.41	19.02	23.78	20.07
SL1344_3693	rpmG	467.18	522.25	428.02	472.48
SL1344_3694	rpmB	383.1	433.63	539.42	452.05
SL1344_3695	radC	7.62	5.28	5.67	6.19
SL1344_3696	dfp	35.01	36.21	37.63	36.28
SL1344_3697	dut	63.14	84.27	61.35	69.59
SL1344_3698	slmA	24.1	12.69	19.94	18.91
SL1344_3699	pyrE	7.03	5.05	5.88	5.99
SL1344_3700	rph	95.59	96.17	104.05	98.6
SL1344_3701	yicC	55.81	51.63	50.48	52.64
SL1344_3702		6.9	8.19	8.14	7.75
SL1344_3703		4.16	1.84	0.64	2.21
SL1344_3704		5.02	7.88	11.31	8.07
SL1344_3705	ligB	4.51	4.65	6.27	5.14
SL1344_3706	gmk	102.17	112.25	98.99	104.47
SL1344_3707	rpoZ	235.57	263.14	233.86	244.19
SL1344_3708	spoT	62.31	64.08	74.6	67
SL1344_3709	spoU	24.94	25.47	28.47	26.29
SL1344_3710	recG	5.96	6.23	7.16	6.45
SL1344_3711		40.38	34.58	49.86	41.61
SL1344_3712	gltS	51.89	43.92	52.12	49.31
SL1344_3713	yicE	28.96	27.56	37.01	31.18
SL1344_3714	yicH	19.12	18.96	22.73	20.27
SL1344_3715	yicI	2.55	1.63	2.85	2.34
SL1344_3716	yicJ	2.04	4.1	3.68	3.28
tRNA_39	tRNA_39	3505.05	3987.25	5966.01	4486.1
SL1344_3717		36.74	34.49	18.45	29.89
SL1344_3718	sugR	10.26	15.46	14.23	13.32
SL1344_3720	rhuM	14.12	11.46	10.55	12.04
SL1344_3722	rmbA	2.28	2.19	1.22	1.9
SL1344_3723	misL	4.42	6.22	4.47	5.04
SL1344_3724	fidL	12.86	20.17	13.69	15.57
SL1344_3725	marT	16.08	18.85	18.43	17.79
SL1344_3726	slsA	8.28	7.15	8.88	8.1
SL1344_3727	cigR	137.59	125.71	129.93	131.08
SL1344_3727A	mgtR	21.43	35.22	49.2	35.28
SL1344_3728	mgtB	124.92	119.75	140.24	128.3
SL1344_3729	mgtC	112.26	121.6	134.87	122.91
SL1344_3730	yicL	8.74	8.68	10.25	9.22
SL1344_3731		7.18	5.17	6.61	6.32
SL1344_3732		0.38	1.82	0.76	0.99
SL1344_3733		6.35	4.14	5.44	5.31
SL1344_3734		2.96	2.84	4.4	3.4
SL1344_3735		4.51	1.08	3.02	2.87
SL1344_3736		8.13	6.12	3.5	5.92
SL1344_3737		4.64	4.45	4.44	4.51
SL1344_3738		16.11	16.6	19.08	17.26
SL1344_3739		1.92	0	1.93	1.28
SL1344_3740		5.3	4.3	5.32	4.97
SL1344_3741	nepI	8.03	11.1	10.13	9.75
SL1344_3743		73.75	69.2	85.11	76.02
SL1344_3744		43.6	42.63	67.73	51.32
SL1344_3745		2.09	4.02	9.11	5.07
SL1344_3746		6.22	3.45	5.7	5.13
SL1344_3747		11.01	10.37	9.66	10.35
SL1344_3748		6.43	6.76	11.11	8.1
SL1344_3749		9.81	16.93	10.51	12.42
SL1344_3750		8.34	10.28	10.37	9.66
SL1344_3751		9.1	12.72	12.18	11.33
SL1344_3752	yicN	8.72	6.57	7.51	7.6
SL1344_3753	uhpT	6.07	6.6	8	6.89
SL1344_3754	uhpC	3.39	5.49	8.09	5.66
SL1344_3755	uhpB	9.94	10.61	10.05	10.2
SL1344_3756	uhpA	32.94	36.15	51.15	40.08
SL1344_3757		12.23	5.6	8.56	8.8
SL1344_3758		7.49	9.85	5.02	7.45
SL1344_3759		3.67	4.7	5.94	4.77
SL1344_3760		9.33	9.98	10.09	9.8
SL1344_3761	ilvN	28.17	33.52	20.16	27.28
SL1344_3762	ilvB	14.18	16.32	15.64	15.38
SL1344_3763	ivbL	1000.17	876.18	925.67	934.01
"IstR-1,2"	"IstR-1,2"	113.95	181.39	131.01	142.12
SL1344_3765		53.26	52.77	57.44	54.49
SL1344_3766	emrD	39.25	34.66	46.35	40.09
SL1344_3767		4.41	6.47	4.69	5.19
SL1344_3768	dsdC	3.05	2.93	3.47	3.15
SL1344_3769	dsdX	4.21	5.25	5.78	5.08
SL1344_3770	dsdA	9.59	8.99	9.7	9.43
SL1344_3771	yidF	15.94	21.91	23.13	20.33
SL1344_3772	yidG	10.89	9.7	10.42	10.34
SL1344_3773	yidH	13.8	14.01	17.39	15.07
SL1344_3774	yidE	5.43	8.62	8.86	7.63
SL1344_3775	hslS	38.29	54.13	66.05	52.82
SL1344_3776	hslT	84.03	88.29	109.38	93.9
SL1344_3777	yidQ	34.47	25.79	24.21	28.16
SL1344_3778	yidR	6.43	9.91	10.92	9.09
SL1344_3779	ccmH1	3.38	1.38	3.82	2.86
SL1344_3782	ccmE1	0	3.95	0	1.32
SL1344_3782A	ccmD1	1.34	0	0	0.45
SL1344_3783	ccmC1	0	0	0	0
SL1344_3785	ccmA1	0	4.74	0	1.58
SL1344_3786	yhjA	4.43	7.33	4.98	5.58
SL1344_3787	torD	3.57	2.99	1.79	2.78
SL1344_3788	torA	3.64	4.02	4.21	3.96
SL1344_3789	torC	4.76	3.88	3.5	4.05
SL1344_3790	torR	14.65	14.05	19.62	16.11
SL1344_3791	torT	10.02	9.61	11.97	10.53
SL1344_3792	torS	8.34	7.4	8	7.92
SL1344_3793	dgoT	2.53	2.42	3.1	2.68
SL1344_3794	dgoD	6.62	7.29	7.39	7.1
SL1344_3795	dgoA	2.74	5.25	3.67	3.89
SL1344_3796	dgoK	10.27	8	9.45	9.24
SL1344_3797	dgoR	20.44	18.81	22.45	20.57
SL1344_3798	yidA	24	20.13	22.77	22.3
SL1344_3799		2.68	1.93	1.05	1.88
SL1344_3800		4.72	5.43	5.69	5.28
SL1344_3801		3.77	5.42	6.1	5.1
SL1344_3802	gyrB	128.81	119.68	106.64	118.38
SL1344_3803	recF	19.16	25.67	25.31	23.38
SL1344_3804	dnaN	45.83	38.05	43.72	42.53
SL1344_3805	dnaA	80.88	79.85	87.83	82.85
SL1344_3806	rpmH	1496.8	1755.11	1714.9	1655.6
SL1344_3807	rnpA	98.07	97.03	139.22	111.44
SL1344_3808		60.28	69.34	106.41	78.68
SL1344_3809	yidC	72.04	71.03	76.88	73.32
SL1344_3810	thdF	6.14	6.08	9.59	7.27
SL1344_3811	intA	4.4	5.1	6.66	5.39
STnc400	STnc400	162.05	225.63	191.18	192.95
SL1344_3812		8.2	8.42	10.19	8.94
SL1344_3813		3.01	7.22	4.84	5.02
SL1344_3814	yidY	1.42	2.27	2.38	2.03
SL1344_3815	yidZ	3.82	5.07	5.51	4.8
SL1344_3816	yieE	2.98	5.72	5.5	4.73
SL1344_3817	yieF	16.4	8.32	11.63	12.12
SL1344_3818	yieG	17.91	23.63	26.38	22.64
SL1344_3819	yieH	22.02	19.9	33.75	25.22
SL1344_3820	phoU	23.31	14.9	18.73	18.98
SL1344_3821	pstB	17.49	18.86	13.91	16.75
SL1344_3822	pstA	6.65	8.19	9.11	7.98
SL1344_3823	pstC	15.57	10.42	17.11	14.36
SL1344_3824	pstS	30.6	26.74	31.19	29.51
SL1344_3825		4.1	4.92	8.1	5.71
SL1344_3826		1.03	0.99	1.38	1.14
SL1344_3827		6.09	4.76	5.8	5.55
SL1344_3828	glmS	59.44	63.63	63.83	62.3
SL1344_3829	glmU	62.5	62.87	59.06	61.48
SL1344_3830		11.3	8.51	10	9.94
SL1344_3831	atpC	90.08	76.69	81.47	82.74
SL1344_3832	atpD	55.43	56.47	53.36	55.09
SL1344_3833	atpG	70.17	58.51	72.77	67.15
SL1344_3834	atpA	67.44	71.32	59.48	66.08
SL1344_3835	atpH	60.77	64.34	74.66	66.59
SL1344_3836	atpF	93.49	96.52	107.94	99.32
SL1344_3837	atpE	142.6	194.32	190.18	175.7
SL1344_3838	atpB	87.78	82.83	96.03	88.88
SL1344_3839	atpI	99.32	115.82	95.79	103.64
SL1344_3840	gidB	34.03	38.64	45.88	39.51
SL1344_3841	gidA	86.33	84.34	84.27	84.98
SL1344_3842	mioC	144.32	121.9	140.92	135.72
SL1344_3843	asnCb	57.81	94.33	62.59	71.58
SL1344_3844	asnA	248.72	247.15	282.52	259.46
SL1344_3845	yieM	7.64	6.75	9.03	7.81
SL1344_3846	yieN	20.52	25.63	20.93	22.36
SL1344_3847	kup	19.9	18.94	23.22	20.69
SL1344_3848	rbsD	27.56	18.69	22.51	22.92
SL1344_3849	rbsA	10.29	9.69	10.03	10
SL1344_3850	rbsC	11.09	17.07	17.2	15.12
SL1344_3851	rbsB	23.74	16.08	29.67	23.16
SL1344_3852	rbsK	13.04	12.79	16.24	14.02
SL1344_3853	rbsR	9.03	14.07	16.63	13.24
SL1344_3854	yieO	4.75	5.88	5.83	5.49
SL1344_3857	yieP	9.6	8.82	10.98	9.8
tRNA_40	tRNA_40	16218.7	19748.73	8319.3	14762.24
SL1344_3858	yifA	18.27	26.43	28.02	24.24
SL1344_3859	yifE	94.16	77.49	59.7	77.12
SL1344_3860	comM	3.15	3.91	2.98	3.35
SL1344_3860A	ilvX	50.7	27	30.18	35.96
SL1344_3861	ilvG	22.59	18.21	22.23	21.01
SL1344_3862	ilvM	1.08	17.65	10.88	9.87
SL1344_3863	ilvE	8.19	10.46	14.41	11.02
SL1344_3864	ilvD	12.94	14.89	12.85	13.56
SL1344_3865	ilvA	15.32	13.29	19.79	16.13
SL1344_3866		265.66	261.5	309.37	278.85
SL1344_3867		347.73	391.17	408.72	382.54
SL1344_3868	ilvY	6.67	3.96	7.02	5.88
SL1344_3869	ilvC	75.24	82.38	77.87	78.49
SL1344_3870	ppiC	23.05	19.22	26.85	23.04
SL1344_3870A		15.7	13.28	16.7	15.22
SL1344_3871		17.92	2.45	6.86	9.08
SL1344_3872	rep	20.18	20.28	20.13	20.19
SL1344_3873	gppA	28.34	25.89	23.43	25.89
SL1344_3874	rhlB	35.4	40.34	41.3	39.01
SL1344_3875	trxA	284.22	293.82	323.89	300.64
SL1344_3876	rho	202.46	194.95	214.36	203.93
SL1344_3877	rfe	50.82	56.55	58.82	55.39
SL1344_3878	wzzE	49.55	51.11	64.91	55.19
SL1344_3879	rffE	34.9	35.13	31.54	33.86
SL1344_3880	rffD	19.42	23.96	23.46	22.28
SL1344_3881	rffG	17.13	16.68	15.78	16.53
SL1344_3882	rffH	7.54	3.62	12.63	7.93
SL1344_3883	rffC	11.82	3.45	8.6	7.96
SL1344_3884	rffA	9.47	11.95	10.18	10.53
SL1344_3885	wzxE	6.08	9.07	9.81	8.32
SL1344_3886		6.79	7.51	6.99	7.1
SL1344_3887	rffT	9.13	9.94	10.69	9.92
SL1344_3888	rffM	8.75	5.11	6.12	6.66
SL1344_3889	yifK	15.46	14.23	14.57	14.75
tRNA_41	tRNA_41	578.75	521.54	586.46	562.25
tRNA_42	tRNA_42	19191.73	22753	14818.1	18920.94
tRNA_43	tRNA_43	27543.4	24422.03	16613.15	22859.53
tRNA_44	tRNA_44	374.26	251.52	550.3	392.02
GlmZ	GlmZ	960.62	1053.98	923.86	979.49
SL1344_3890	hemY	18.55	22.52	14.57	18.55
SL1344_3891	hemX	14.7	14.55	17.91	15.72
SL1344_3892	hemD	17.89	25.54	26.51	23.31
SL1344_3893	hemC	65.11	62.42	70.43	65.99
SL1344_3894	cyaA	77.22	74.34	67.04	72.87
SL1344_3895		4.79	0.76	5.34	3.63
SL1344_3896		10.91	15.44	10.79	12.38
SL1344_3897		10.89	8.95	9.38	9.74
SL1344_3898	cyaY	10.56	16.03	20.04	15.54
SL1344_3899		0	0	0.48	0.16
SL1344_3899A		1.49	0.71	0	0.73
SL1344_3900	yifL	101.29	91.78	104.05	99.04
SL1344_3901	dapF	59.6	55.83	51.54	55.66
SL1344_3902	yigA	41.03	51.56	38.95	43.85
SL1344_3903	xerC	22.17	20.06	18.4	20.21
SL1344_3904	yigB	12.19	10.18	5.53	9.3
SL1344_3905	uvrD	34.65	32.35	35.94	34.31
SL1344_3906	corA	74.71	73.33	69.88	72.64
SL1344_3907	yigF	2.96	6.4	7.44	5.6
SL1344_3908	yigG	3.07	2.36	2.47	2.63
SL1344_3909	rarD	21.67	25.05	19.41	22.04
SL1344_3910	yigI	18	21.71	17.5	19.07
SL1344_3911	pldA	50.97	55.02	38.43	48.14
SL1344_3912	recQ	37.82	35.09	46.56	39.82
SL1344_3913	rhtC	8.63	16.98	22.81	16.14
SL1344_3914	rhtB	2.73	1.31	2.43	2.16
SL1344_3915	pldB	36.04	30.3	47.15	37.83
SL1344_3916	yigL	36.97	39.83	39.61	38.8
SL1344_3917	yigM	7.83	8.41	10.7	8.98
SL1344_3918	metR	122.06	108.23	128.64	119.64
SL1344_3919	metE	12.81	12.17	13	12.66
SL1344_3920		6.92	7.84	6.74	7.17
SL1344_3921	dlhH	17.34	15.3	15.1	15.91
SL1344_3922	udp	18.88	17.03	20.32	18.74
SL1344_3923	yigN	29.54	32.29	32.05	31.29
SL1344_3924	ubiE	45.51	51.14	64.2	53.62
SL1344_3925	yigP	40.04	34.37	43.95	39.45
SL1344_3926	aarF	30.74	34.41	31.85	32.34
SL1344_3927	tatA	331.56	315.73	288.84	312.04
SL1344_3928	tatB	101.25	97.07	121.14	106.49
SL1344_3929	tatC	57.85	61.35	69.24	62.81
SL1344_3930	tatD	11.35	12.24	11.64	11.74
SL1344_3931	rfaH	24.24	29.33	25.89	26.49
SL1344_3932	yigC	75.85	77.64	78.73	77.41
SL1344_3933	fre	63.88	68.56	65.11	65.85
SL1344_3934		17.46	23.7	21.52	20.89
SL1344_3935	fadA	10.66	15.32	10.22	12.07
SL1344_3936	fadB	14.8	11.97	13.27	13.34
SL1344_3937	pepQ	20.53	29.21	28.62	26.12
SL1344_3938	yigZ	24.77	22.43	30.1	25.77
SL1344_3939	trkH	16.89	19.91	19.24	18.68
SL1344_3940	hemG	16.02	16.35	18.34	16.9
SL1344_3941	mobB	3.28	5.24	4.76	4.43
SL1344_3942	mobA	4.34	6.94	8.07	6.45
SL1344_3943	yihD	33.51	28.11	49.78	37.13
SL1344_3944	rodA	89.41	114.2	111.71	105.1
SL1344_3945	dsbA	31.19	38.14	43.29	37.54
SL1344_3946	yihG	10.55	8.03	7.48	8.68
SL1344_3947	polA	13.04	11.53	11.71	12.1
Spf	Spf	5661.55	7416.79	12530.57	8536.3
SL1344_3948	engB	65.83	60.86	68.32	65
CsrC	CsrC	3445.94	3143.53	4193.41	3594.29
SL1344_3950	yihI	36.64	24.64	27.1	29.46
SL1344_3951	hemN	16	13.96	16.9	15.62
SL1344_3951A	yshB	407.12	294.56	360.05	353.91
SL1344_3952	glnG	23.59	22.8	29.05	25.15
SL1344_3953	glnL	34.37	34.75	35.78	34.97
SL1344_3954	glnA	688.65	709.06	688.41	695.37
SL1344_3955	typA	291.08	292.53	304.37	295.99
SL1344_3956		11.13	7.36	11.05	9.84
SL1344_3957		1.92	1.54	1.5	1.66
SL1344_3958		2.95	2.61	2.58	2.71
SL1344_3959		3.26	4.69	4.37	4.11
SL1344_3960		1.92	1.05	2.21	1.73
SL1344_3961		8.97	7.96	11.57	9.5
SL1344_3962	ompL	3.66	8.58	3.27	5.17
SL1344_3963	yihO	2.97	2.28	3.72	2.99
SL1344_3964	yihP	4.89	3.52	4.37	4.26
SL1344_3965	yihQ	2.63	2.92	3.33	2.96
SL1344_3966	yihR	4.3	3.17	3.99	3.82
SL1344_3967	yihS	3.63	3.26	3.19	3.36
SL1344_3968	yihT	1.92	0.62	3.22	1.92
SL1344_3969	yihU	2.51	0.6	2.32	1.81
SL1344_3970	yihV	1.87	2.1	2.3	2.09
SL1344_3971	yihW	46.3	44.05	43.45	44.6
SL1344_3972	yihX	23.98	21.64	27.39	24.34
SL1344_3973	rbn	18.73	18.27	17.09	18.03
SL1344_3974	yihZ	34.8	32.75	36.68	34.75
SL1344_3975	yiiD	17.09	17.47	17.73	17.43
SL1344_3976		790.35	764	784.8	779.71
SL1344_3977		609.5	681.55	704.67	665.24
SL1344_3978		19.71	19.47	30.05	23.08
SL1344_3979		279.84	309.95	199.51	263.1
SL1344_3980		73.81	70.76	87.15	77.24
SL1344_3981	fdhE	26.38	29.65	29.64	28.55
SL1344_3982	fdoI	21.73	17.86	23.17	20.92
SL1344_3983	fdoH	39.66	28.14	34.92	34.24
SL1344_3984	fdoG	44.63	38.41	44.99	42.68
SL1344_3986	fdhD	27.29	24.22	25.72	25.74
SL1344_3987		19.6	21.28	23.16	21.35
SL1344_3988	yiiG	8.52	8.93	9.63	9.03
SL1344_3989		38.37	42.63	41.46	40.82
SL1344_3990		48.72	40.97	56.38	48.69
SL1344_3991		45.28	51.05	50.65	48.99
SL1344_3992	yiiL	8.97	4.3	5.41	6.23
SL1344_3993		1.72	1.88	1.31	1.64
SL1344_3994	rhaD	1.7	2.61	2.05	2.12
SL1344_3995	rhaA	1.34	1.07	1.8	1.4
SL1344_3996	rhaB	2.3	2.57	3.72	2.87
SL1344_3997	rhaS	7.41	4.84	2.93	5.06
SL1344_3998	rhaR	4.32	2.23	4.89	3.81
SL1344_3999	rhaT	0.82	2.61	4.38	2.6
SL1344_4000		2.89	4.35	2.21	3.15
SL1344_4001		2.37	3.1	3.61	3.03
SL1344_4002		2.73	2.1	3.66	2.83
SL1344_4003		3.15	2.2	4.6	3.32
SL1344_4004	sodA	97.67	86.23	107.68	97.2
SL1344_4005	yiiM	6.95	7.45	7.66	7.35
SL1344_4006		15.69	8.2	14.8	12.9
SL1344_4007	cpxA	54.98	57.62	63.6	58.73
SL1344_4008	cpxR	43.18	37.52	41.34	40.68
SL1344_4009	cpxP	1115.92	1175.65	1514.45	1268.67
STnc870	STnc870	1645.46	1785.9	3596.61	2342.66
SL1344_4010	fieF	120.22	126.63	128.17	125.01
SL1344_4011	pfkA	135.85	129.11	133.71	132.89
SL1344_4012	sbp	45.28	50.24	53.78	49.76
SL1344_4013	cdh-a	15.67	22.17	24.48	20.77
SL1344_4014		2.74	5.06	5.94	4.58
SL1344_4015		2.35	5.35	2.16	3.29
SL1344_4016		17.33	19.73	23.39	20.15
SL1344_4017		10.53	14.96	16.2	13.9
SL1344_4018		1.72	4.94	5.75	4.14
SL1344_4019	cdh-b	0	2.06	0	0.69
SL1344_4020		2.12	3.05	8.51	4.56
SL1344_4021	ydeV	22.65	22.39	20.73	21.92
SL1344_4022	ydeW	14.39	11.54	13.37	13.1
SL1344_4023	ego	5.69	5.98	6.39	6.02
SL1344_4024	ydeY	6.21	1.29	3.44	3.65
SL1344_4025	ydeZ	11.54	5.93	9.42	8.96
SL1344_4026	yneA	9.37	10.83	9.78	9.99
SL1344_4027	yneB	34.12	37.65	28.88	33.55
SL1344_4028	yneC	12.5	23.96	25.75	20.73
SL1344_4029		28.39	24.03	30.86	27.76
SL1344_4030	tpiA	113.1	114.77	100.82	109.56
SL1344_4031	yiiQ	11.34	11.33	23.42	15.36
SL1344_4032	yiiR	19.08	23.97	34.37	25.81
SL1344_4033	fpr	32.09	21.36	27.3	26.92
SL1344_4034	glpX	24.54	29.94	23.53	26
SL1344_4035	glpK	166.6	163.66	139.95	156.74
SL1344_4036	glpF	101.33	108.33	123.65	111.1
SL1344_4037	yiiU	326.44	315.21	292.76	311.47
SL1344_4038	menG	502.34	528.34	464.69	498.46
