Locus Tag	gene	24hr_r1	24hr_r2	24hr_r3	24hr (Avg)
SL1344_0257	yafS	7.41	4.86	7.31	6.53
SL1344_0258	rnhA	19.3	21.39	14.94	18.55
SL1344_0259	dnaQ	16.18	17.36	23.99	19.18
SL1344_0260	sciA	3.2	3.58	4.29	3.69
SL1344_0261	sciB	1.13	1.09	2.46	1.56
SL1344_0262	sciC	1.65	1.86	1.9	1.8
SL1344_0263	sciD	0	0.55	2.29	0.95
SL1344_0264	sciE	2.39	2.62	3.2	2.74
SL1344_0265	sciF	4.06	2.99	2.51	3.19
SL1344_0266	sciG	4.48	3.99	4.65	4.37
SL1344_0267	sciH	5.72	8.97	6.61	7.1
SL1344_0268	sciI	6.79	5.61	4.67	5.69
SL1344_0270	sciJ	8.21	9.08	10.57	9.29
SL1344_0271	sciK	1.98	1.42	2.13	1.84
SL1344_0272		12.78	21.16	15.55	16.5
SL1344_0273		13.24	13.4	16.74	14.46
SL1344_0274	sciK1	10.8	7.49	9.92	9.4
SL1344_0275	sciN	3.15	4.03	4.93	4.04
SL1344_0276	sciO	4.82	3.22	3.79	3.94
SL1344_0277	sciP	5.62	4.56	4.92	5.03
SL1344_0278	sciQ	1.82	3.14	3.9	2.96
SL1344_0279	sciR	8.5	8.77	7.44	8.24
SL1344_0280	sciS	4.95	4.4	6.04	5.13
SL1344_0281	sciT	2.86	4.11	4.55	3.84
SL1344_0282	sciU	6.09	10.39	8.61	8.36
SL1344_0283	sciV	8.65	9.33	10.5	9.49
SL1344_0284	vgrS	7.46	8.63	10.17	8.75
SL1344_0285	sciW	3.79	3.63	2.11	3.18
SL1344_0286		12.91	12.89	12.81	12.87
SL1344_0286A		166	173.51	147.72	162.41
SL1344_0286B		25.78	33.57	27.63	28.99
SL1344_0288	sciX	53.05	58.73	54.13	55.3
SL1344_0289	sciY	54.25	72.48	59.9	62.21
IsrA	IsrA	4	5.76	11.17	6.98
SL1344_0291		19.2	29.81	36.74	28.58
SL1344_0292		1.8	4.31	1.81	2.64
SL1344_0293		8.05	19.29	13.47	13.6
SL1344_0294		4.85	6.97	6.08	5.97
SL1344_0295	safA	51.71	64.34	48.62	54.89
SL1344_0296	safB	13.83	17.42	17.99	16.41
SL1344_0297	safC	19.08	18.4	20.89	19.45
SL1344_0298	safD	22.17	10.92	32.5	21.86
SL1344_0299	ybeJ	21.27	15.79	23.43	20.16
SL1344_0300	sinR	16.95	19.67	20.31	18.98
SL1344_0301		10.48	17.58	8.77	12.28
SL1344_0302	pagN	26.64	27.79	21.77	25.4
SL1344_0303	sciZ	15.92	19.9	16.22	17.35
SL1344_0304	yafV	24.24	20.42	20.41	21.69
