Locus Tag	Name	MEP	Cold shock (15C)	pH3 shock	pH5.8 shock	NaCl shock	Bile shock	LowFe2+ shock	Anaerobic shock
SL1344_0760	modC	68.5	67.2	19.8	64.5	62.4	69.7	71.1	73.7
SL1344_0761	ybhA	19.4	24.8	16.2	12.1	24.3	30.6	23.1	25.6
SL1344_0762	ybhE	17.6	20.8	6.2	10.3	19	36.3	28.4	35.7
SL1344_0763	ybhC	111.3	123	37	64.2	17.5	139.9	93.7	16.8
SL1344_0764	hutI	20.8	21.9	38.5	12.8	27	79.6	26.8	56.3
SL1344_0765	hutG	11.8	12.8	14.9	7.6	11.9	32.2	16.5	35.2
SL1344_0766	hutC	13.9	19.9	12.3	5.6	15.3	23.9	14.2	34.7
SL1344_0767	hutU	7	16.4	17	2.9	6.4	11.5	6.1	6.5
SL1344_0768	hutH	9.9	18.8	15.1	3.8	6.2	9.1	8.6	7.4
SL1344_0769	ybhB	23.9	18.3	15.4	31.5	39.3	48.8	38.3	34.7
SL1344_0770	bioA	2.3	3.5	1.5	1.6	3.7	1.4	3.1	1.4
SL1344_0771	bioB	1.5	3	0.8	1.4	2.3	2.3	2.5	1.5
SL1344_0772	bioF	1.9	0.9	0.3	0.8	0.4	2.5	1.1	1
SL1344_0773	bioC	1.4	0.5	0.6	0.7	0.9	1.7	1.8	0.6
SL1344_0774	bioDa	1.4	1.5	0.7	0.8	1	1.4	1.6	1.9
STnc3340		68.5	62.5	49.4	79.5	454.4	77.7	101.2	52.1
SL1344_0775	uvrB	46.5	48.4	20	32.1	49.7	52.5	41.8	27.2
SL1344_0776	slrP	13.3	10.3	11.5	11.3	22.3	17	18.6	15
SL1344_0777	ybhK	22.2	18.2	18	14.9	5.2	29.3	24.5	62.3
SL1344_0778	moaA	43.1	53.2	25.1	27.3	18.1	44.5	37.4	207.3
SL1344_0779	moaB	47.2	44.1	23.9	26.4	13	54.5	41.8	151.3
SL1344_0780	moaC	52	57.6	13.8	37.3	10.5	53.2	47.3	178
SL1344_0781	moaD	53.6	58.4	16.2	22	10.1	54.5	46.8	120.6
SL1344_0782	moaE	57.8	54.5	19.5	37.3	14.7	56.6	45.7	147.8
SL1344_0783	ybhL	138.6	134.4	74.8	89.8	240.3	194.3	143.5	214.2
SL1344_0784	ybhM	1.3	3.5	0.9	1.1	5.1	1.6	2	2
SL1344_0785		2	3.4	1.1	1.1	12	2.5	3.4	2.8
SL1344_0786		1.7	1.1	1.2	1.2	5.8	1.9	3	1.3
SL1344_0787	ybhN	3.3	4.7	3.4	2	8.7	5.6	5.7	4.7
SL1344_0788	ybhO	1.3	2.5	0.8	1.1	10.2	2.7	3.3	2.6
