Locus Tag	Name	FDR	logFC	Fitness
SL1344_0502	SL1344_0502	0.787696886	0.870501994	0
SL1344_0510	gcl	0.000460826	-3.712076558	2
SL1344_0511	gip	5.47e-06	-5.399995396	2
SL1344_0512	garRa	3.78e-07	-6.025444125	2
SL1344_0513	SL1344_0513	0.000271664	-4.019140657	2
SL1344_0515	allP	1.39e-09	-15	2
SL1344_0516	allB	0.885008871	0.584722029	0
SL1344_0517	ybbY	4.78e-05	-4.554121882	2
SL1344_0518	glxK	0.84085579	-0.54794754	0
SL1344_0520	allC	0.672461759	-0.894911001	0
SL1344_0522	fdrA	0.869918563	0.644935441	0
SL1344_0523	ylbE	0.788779372	-0.697030937	0
SL1344_0525	arcC	0.984125977	-0.059130309	0
SL1344_0526	purK	0.007931155	-2.915669112	2
SL1344_0536	fimA	2.19e-07	-6.5512012	2
SL1344_0537	fimI	9.07e-11	-15	2
SL1344_0539	fimD	0.935843444	-0.269609451	0
SL1344_0540	fimH	0.526211945	-1.126807326	0
SL1344_0543	fimY	3.21e-10	-8.255106603	2
SL1344_0545	fimW	9.63e-11	-9.708039448	2
SL1344_0546	SL1344_0546	2.7e-05	-4.526139278	2
SL1344_0547	SL1344_0547	0.732422558	0.998566957	0
SL1344_0548	gtrBa	0.650819433	1.146036738	0
SL1344_0549	gtrAa	0.87670472	0.618939774	0
SL1344_0553	SL1344_0553	2.78e-09	-15	2
SL1344_0554	ykgB	1	0.1191504	0
SL1344_0557	ybdG	0.012339026	-2.742943194	2
SL1344_0558	apeE	0.001116659	-3.840225869	2
SL1344_0559	SL1344_0559	0.669893288	1.12402973	0
SL1344_0560	SL1344_0560	0.008200852	-2.796126141	2
SL1344_0561	SL1344_0561	0.932846393	0.43143726	0
SL1344_0565	SL1344_0565	0.300474165	1.812991597	0
SL1344_0571	ybdK	0.748011149	0.969119767	0
SL1344_0574	fes	0.953456235	0.347303296	0
SL1344_0576	entF	0.769526626	0.917075748	0
SL1344_0577	fepE	1.24e-05	-5.213765808	2
SL1344_0578	fepC	0.0002115	-4.150438991	2
SL1344_0579	fepG	0.000266137	-4.031133764	2
SL1344_0580	fepD	5.96e-10	-9.152814941	2
SL1344_0581	ybdA	0.813910601	-0.634869614	0
SL1344_0583	entC	0.939416352	-0.37869785	0
SL1344_0588	cstAa	0.732422558	1.283808468	0
SL1344_0591	ybdL	0.680209554	1.091885615	0
SL1344_0593	ybdN	1.26e-09	-8.282742332	2
SL1344_0594	ybdO	0.000255557	-3.944167237	2
SL1344_0596	ahpC	0.941837112	-0.24589168	0
SL1344_0597	ahpF	0.5389012	-1.120944216	0
SL1344_0600	SL1344_0600	1	0.031804324	0
SL1344_0601	SL1344_0601	0.711591814	1.034064803	0
SL1344_0602	ybdQ	0.79088708	-0.673999054	0
SL1344_0603	ybdR	0.61872389	1.214632121	0
SL1344_0606	citT	0.853325676	0.681244345	0
SL1344_0607	citG	0.914628827	0.498861818	0
SL1344_0608	citX	1	0.086880451	0
SL1344_0611	citD	0.642981545	1.201439769	0
SL1344_0612	citC	0.059397683	-2.163277616	0
SL1344_0613	citA	0.968960871	-0.158590296	0
SL1344_0614	citB	0.737247823	-0.803696673	0
SL1344_0615	dcuC	0.672461759	-1.429474024	0
SL1344_0621	lipA	2.86e-06	-6.741827761	2
SL1344_0622	ybeF	0.834899332	0.742593308	0
SL1344_0623	lipB	5.29e-10	-9.267711029	2
SL1344_0625	dacA	0.004154133	-3.152083637	2
SL1344_0632	cobD	0.207456828	2.012081682	0
SL1344_0638	SL1344_0638	0.115038123	-1.95509586	0
SL1344_0639	SL1344_0639	1.42e-07	-8.008673966	2
SL1344_0640	SL1344_0640	0.004890388	-3.037379076	2
SL1344_0642	ybeQ	1.07e-10	-9.683907785	2
SL1344_0643	ybeR	0.986357653	-0.047256688	0
SL1344_0644	ybeS	0.64452908	-1.111117405	0
SL1344_0647	ybeV	0.997916127	0.157242916	0
SL1344_0648	hscC	0.200876112	-1.63558046	0
SL1344_0649	SL1344_0649	8.58e-10	-15	2
SL1344_0650	rihA	0.655194767	1.146857764	0
SL1344_0651	gltL	0.885008871	0.586894109	0
SL1344_0656	ybeX	0.873481761	-0.483035219	0
SL1344_0658	phoL	7.99e-09	-15	2
SL1344_0662	asnB	0.658781646	1.1441807	0
SL1344_0663	nagD	0.680137939	1.086108292	0
SL1344_0664	nagC	0.545656193	-1.093697969	0
SL1344_0665	nagA	1.6e-10	-15	2
SL1344_0666	nagB	0.93992331	-0.348348394	0
SL1344_0667	nagE	0.453317881	1.499578276	0
SL1344_0669	ybfM	0.024659076	-2.504538824	2
SL1344_0672	SL1344_0672	0.84085579	0.741880344	0
SL1344_0673	SL1344_0673	0.735460116	0.988516013	0
SL1344_0674	SL1344_0674	0.905454166	-0.357476897	0
SL1344_0676	fldA	0.065656874	-2.178510058	0
SL1344_0678	ybfF	0.758023903	0.924563033	0
SL1344_0679	seqA	6.66e-11	-15	2
SL1344_0680	pgm	3.88e-09	-15	2
SL1344_0682	potE	0.744616325	-0.921293148	0
SL1344_0683	speF	0.242799515	-1.562791499	0
SL1344_0684	kdpE	9.86e-10	-8.29675429	2
SL1344_0685	kdpD	0.620636279	1.20284125	0
SL1344_0686	kdpC	0.885008871	1.022815483	0
SL1344_0687	kdpB	0.503312284	1.41829453	0
SL1344_0688A	kdpF	0.805343942	0.81844624	0
SL1344_0691	ybgH	0.95360588	0.334745851	0
SL1344_0693	ybgJ	0.49766917	1.414854376	0
SL1344_0694	ybgK	0.86055029	0.753871614	0
SL1344_0697	fimB	0.834899332	-0.578175138	0
SL1344_0699	SL1344_0699	0.703821351	1.03626774	0
SL1344_0705	SL1344_0705	3e-09	-15	2
SL1344_0712	gltA	0.525586466	-1.120984274	0
SL1344_0713	SL1344_0713	0.945310092	-0.231166414	0
SL1344_0716	sdhA	0.59772309	-1.025238149	0
SL1344_0717	sdhB	0.419784202	-1.339964992	0
SL1344_0720	sucC	0.000557981	-3.702953638	2
SL1344_0721	sucD	0.752897314	-0.747626731	0
SL1344_0722	cydA	0.000583434	-3.707786188	2
SL1344_0725	ybgE	0.788193199	1.29550753	0
SL1344_0728	tolR	0.852858469	0.702859626	0
SL1344_0729	tolA	1.08e-10	-15	2
SL1344_0730	tolB	1.02e-09	-15	2
SL1344_0731	pal	1.5e-10	-15	2
SL1344_0732	ybgF	0.823240134	-0.604764636	0
SL1344_0733	nadA	0.794904135	0.854813892	0
SL1344_0734	pnuC	0.939416352	-0.245534732	0
SL1344_0737	aroG	0.75413532	1.454404093	0
SL1344_0738	SL1344_0738	0.013548332	-2.721328836	2
SL1344_0739	SL1344_0739	2.85e-05	-4.709265191	2
SL1344_0747	SL1344_0747	0.956571137	0.322100074	0
SL1344_0748	SL1344_0748	0.953880336	0.48599321	0
SL1344_0749	gpmA	0.885008871	-0.806640865	0
SL1344_0750	galM	0.92117525	-0.347987641	0
SL1344_0751	galK	0.251810363	-1.57782861	0
SL1344_0752	galT	0.680137939	-0.899494737	0
SL1344_0753	galE	2.53e-09	-15	2
SL1344_0755	modF	0.13657533	-1.821935275	0
SL1344_0756	modE	0.93033271	-0.286176644	0
SL1344_0758	modA	0.92928352	0.447411411	0
SL1344_0762	ybhE	0.614071861	-1.164820459	0
SL1344_0763	ybhC	0.585157714	1.28091105	0
SL1344_0764	hutI	0.122564042	2.33544023	0
SL1344_0765	hutG	0.425463827	1.754182924	0
SL1344_0766	hutC	0.794904135	0.842793883	0
SL1344_0767	hutU	1	0.194349651	0
SL1344_0768	hutH	0.491593758	1.793086515	0
SL1344_0770	bioA	0.968732569	-0.067811471	0
SL1344_0771	bioB	1.14e-07	-6.084972342	2
SL1344_0774	bioDa	0.472076242	-1.635289945	0
SL1344_0775	uvrB	0.001792182	-3.447899419	2
SL1344_0776	slrP	2.75e-08	-6.514343426	2
SL1344_0777	ybhK	0.029452435	-2.471190596	2
SL1344_0778	moaA	2.95e-09	-8.788892758	2
SL1344_0782	moaE	0.073524487	-2.085999175	0
SL1344_0783	ybhL	0.364158721	1.928155712	0
SL1344_0786	SL1344_0786	5.33e-10	-15	2
SL1344_0787	ybhN	0.782158105	1.127312946	0
SL1344_0789	ybhP	0.885008871	0.589153431	0
SL1344_0790	ybhQ	0.574540435	1.275400709	0
SL1344_0792	ybhS	0.660195496	1.122793331	0
SL1344_0793	ybhF	0.994131322	0.150647984	0
SL1344_0795	ybiH	0.742168651	0.978030992	0
SL1344_0796	rhlE	0.751317202	0.935049545	0
SL1344_0797	dinG	0.873629666	1.230357733	0
SL1344_0798	ybiB	0.867841552	0.656356687	0
SL1344_0801	ybiN	0.823240134	0.770508377	0
SL1344_0802	ybiO	0.731933561	0.990096624	0
SL1344_0803	glnQ	0.995431627	0.162596888	0
SL1344_0805	glnH	0.495392165	1.587492531	0
SL1344_0806	dps	1.1e-05	-4.737122431	2
SL1344_0807	ybiF	0.711573242	1.040251623	0
SL1344_0808	ompX	0.174859121	2.131605327	0
SL1344_0809	ybiP	0.305040396	1.791414399	0
SL1344_0811	ybiR	0.536685221	1.334308691	0
SL1344_0813	ybiT	0.310027259	1.758408485	0
SL1344_0815	ybiV(2)	0.147673513	-1.796984596	0
SL1344_0817	ybiU	0.681511969	1.296152173	0
SL1344_0818	ybiV(1)	0.983383916	-0.06483965	0
SL1344_0819	pflF	0.603864249	1.243746072	0
SL1344_0821	moeB	0.085969912	-2.112037945	0
SL1344_0822	moeA	0.00031932	-3.880720647	2
SL1344_0823	ybiK	0.696310941	1.063951948	0
SL1344_0824	yliA	0.940356423	0.585219679	0
SL1344_0826	yliC	0.827907365	2.358676272	0
SL1344_0828	rimO	0.71739018	1.008928746	0
SL1344_0833	SL1344_0833	7.19e-10	-15	2
SL1344_0834	SL1344_0834	1.62e-09	-15	2
SL1344_0835	SL1344_0835	7.62e-11	-9.694565375	2
SL1344_0836	SL1344_0836	0.114512464	-1.970332113	0
SL1344_0837	yliI	4.06e-05	-4.449491087	2
SL1344_0838	yliJ	0.93033271	0.453491581	0
SL1344_0839	dacC	0.808402122	0.901193294	0
SL1344_0842	mdfA	0.965569716	0.978663177	0
SL1344_0843	SL1344_0843	0.92117525	-0.323518336	0
SL1344_0845	SL1344_0845	0.902213915	0.528127551	0
SL1344_0846	SL1344_0846	1.34e-06	-5.249136923	2
SL1344_0848	grxA	0.977400651	0.325425611	0
SL1344_0850	mdaA	0.811010216	-0.629346056	0
SL1344_0852	rimK	0.50325099	1.408030356	0
SL1344_0854	potF	0.763105703	1.317463076	0
SL1344_0855	potG	0.951202485	0.33085095	0
SL1344_0856	potH	0.892913253	0.579846826	0
SL1344_0859	rumB	0.277508174	-1.531469359	0
SL1344_0860	SL1344_0860	2.15e-09	-8.119318029	2
SL1344_0861	SL1344_0861	0.000341681	-4.098754876	2
SL1344_0862	SL1344_0862	0.538720964	-1.142150763	0
SL1344_0866	artI	0.922350069	-0.315592046	0
SL1344_0871	SL1344_0871	0.785261099	0.871242587	0
SL1344_0872	ybjT	8.85e-05	-4.489218512	2
SL1344_0873	ltaA	0.844257471	0.715358641	0
SL1344_0874	poxB	0.5881669	1.260899381	0
SL1344_0875	hcr	0.852858469	0.696325147	0
SL1344_0876	hcp	0.638912447	1.176438493	0
SL1344_0877	ybjE	0.337060477	-1.400176267	0
SL1344_0879	ybjX	4.58e-08	-6.7537882	2
