Locus Tag	Name	FDR	logFC	Fitness
SL1344_0510	gcl	5.21e-32	-15	2
SL1344_0511	gip	8.84e-33	-15	2
SL1344_0512	garRa	3.05e-31	-15	2
SL1344_0513	SL1344_0513	4.27e-30	-8.217185108	2
SL1344_0515	allP	4.42e-33	-15	2
SL1344_0516	allB	1.61e-12	-4.207700243	2
SL1344_0517	ybbY	1.48e-59	-7.64751156	2
SL1344_0518	glxK	0.060154721	-1.376874425	0
SL1344_0520	allC	1.1e-19	-5.153475051	2
SL1344_0522	fdrA	0.004815355	2.047663351	1
SL1344_0523	ylbE	0.050496375	1.037457097	0
SL1344_0526	purK	0.945535768	0.046668593	0
SL1344_0536	fimA	2e-69	-15	2
SL1344_0537	fimI	1.12e-33	-15	2
SL1344_0539	fimD	5.92e-11	-3.395257183	2
SL1344_0540	fimH	5.56e-10	-3.202380947	2
SL1344_0543	fimY	2.35e-34	-15	2
SL1344_0545	fimW	1.7e-57	-15	2
SL1344_0546	SL1344_0546	3.36e-34	-15	2
SL1344_0547	SL1344_0547	0.263965198	-0.631918016	0
SL1344_0548	gtrBa	5.74e-06	-2.316569091	2
SL1344_0549	gtrAa	0.396337124	-0.636016584	0
SL1344_0554	ykgB	0.240848603	-0.65551763	0
SL1344_0557	ybdG	0.033328022	-1.381492869	2
SL1344_0558	apeE	0.007946089	-1.378125111	2
SL1344_0560	SL1344_0560	2.22e-34	-15	2
SL1344_0565	SL1344_0565	0.861399162	-0.147604809	0
SL1344_0571	ybdK	0.001663461	1.617302907	1
SL1344_0574	fes	0.010215865	1.877208302	1
SL1344_0576	entF	0.003335592	-1.652931194	2
SL1344_0577	fepE	1.91e-17	-4.811558172	2
SL1344_0578	fepC	1.44e-30	-15	2
SL1344_0579	fepG	4.58e-28	-15	2
SL1344_0580	fepD	2.14e-31	-15	2
SL1344_0581	ybdA	0.271576504	-0.79409147	0
SL1344_0583	entC	0.424576259	0.462353313	0
SL1344_0588	cstAa	0.247152326	0.647686689	0
SL1344_0593	ybdN	8.84e-72	-15	2
SL1344_0594	ybdO	2.23e-34	-15	2
SL1344_0597	ahpF	1.29e-16	-5.061159135	2
SL1344_0600	SL1344_0600	0.199251999	0.964464364	0
SL1344_0601	SL1344_0601	0.002862837	-1.504162469	2
SL1344_0602	ybdQ	0.022076019	-1.686237953	2
SL1344_0603	ybdR	0.741018116	0.261915685	0
SL1344_0606	citT	0.088525953	1.280020679	0
SL1344_0607	citG	0.184509253	0.744356652	0
SL1344_0608	citX	0.264646026	0.830986371	0
SL1344_0611	citD	0.372620382	0.630509067	0
SL1344_0612	citC	8.56e-17	-5.08118619	2
SL1344_0613	citA	0.001920223	-2.05719339	2
SL1344_0614	citB	9.55e-32	-15	2
SL1344_0615	dcuC	1.2e-16	-4.61031156	2
SL1344_0621	lipA	3.98e-11	-15	2
SL1344_0622	ybeF	0.383754521	0.516436547	0
SL1344_0623	lipB	2.22e-34	-15	2
SL1344_0625	dacA	0.011210057	-1.450857337	2
SL1344_0632	cobD	0.00918158	1.978139927	1
SL1344_0638	SL1344_0638	0.500206233	-0.501918061	0
SL1344_0639	SL1344_0639	2.22e-34	-15	2
SL1344_0640	SL1344_0640	2.39e-20	-5.499280247	2
SL1344_0642	ybeQ	1.61e-55	-9.958225314	2
SL1344_0643	ybeR	0.164415738	1.071031457	0
SL1344_0644	ybeS	0.001770799	-1.575698046	2
SL1344_0647	ybeV	0.7115521	-0.217541243	0
SL1344_0648	hscC	3.67e-10	-3.111841023	2
SL1344_0649	SL1344_0649	1.08e-32	-15	2
SL1344_0650	rihA	0.012183558	-1.341659756	2
SL1344_0658	phoL	5.36e-42	-15	2
SL1344_0662	asnB	0.031700922	1.579095864	1
SL1344_0663	nagD	0.035303222	1.550005603	1
SL1344_0664	nagC	0.60829326	-0.334304462	0
SL1344_0665	nagA	3.86e-29	-15	2
SL1344_0666	nagB	4.81e-34	-15	2
SL1344_0667	nagE	0.006645289	1.96997142	1
SL1344_0669	ybfM	4.67e-32	-15	2
SL1344_0672	SL1344_0672	0.248514224	0.882793416	0
SL1344_0673	SL1344_0673	0.158769803	1.043121791	0
SL1344_0674	SL1344_0674	0.044082228	1.511383015	1
SL1344_0678	ybfF	0.043692509	0.965929418	1
SL1344_0679	seqA	7.63e-22	-15	2
SL1344_0682	potE	0.052870625	-0.885732797	0
SL1344_0683	speF	0.003650562	2.425619563	1
SL1344_0684	kdpE	2.04e-31	-15	2
SL1344_0685	kdpD	0.002702937	-1.517722852	2
SL1344_0686	kdpC	0.094028605	0.885019708	0
SL1344_0687	kdpB	0.422612405	-0.527294624	0
SL1344_0691	ybgH	0.298027495	0.792098784	0
SL1344_0694	ybgK	0.143503589	-0.784174087	0
SL1344_0697	fimB	1.71e-28	-15	2
SL1344_0699	SL1344_0699	1.7e-26	-7.053869099	2
SL1344_0705	SL1344_0705	4.56e-16	-4.853920467	2
SL1344_0712	gltA	1.82e-33	-15	2
SL1344_0713	SL1344_0713	0.155862986	1.029837117	0
SL1344_0716	sdhA	2.13e-17	-5.861048607	2
SL1344_0717	sdhB	3.38e-10	-15	2
SL1344_0720	sucC	1.55e-18	-15	2
SL1344_0721	sucD	1.34e-15	-4.466448855	2
SL1344_0722	cydA	7e-71	-15	2
SL1344_0728	tolR	0.002823722	2.425893162	1
SL1344_0729	tolA	4.86e-19	-15	2
SL1344_0730	tolB	8.21e-33	-15	2
SL1344_0731	pal	8.58e-26	-15	2
SL1344_0732	ybgF	0.149496571	0.792418735	0
SL1344_0733	nadA	0.005048102	1.47319869	1
SL1344_0734	pnuC	0.749641307	0.253267446	0
SL1344_0737	aroG	0.175047814	-0.770726893	0
SL1344_0738	SL1344_0738	4.79e-30	-15	2
SL1344_0739	SL1344_0739	8.4e-38	-15	2
SL1344_0747	SL1344_0747	0.004496826	2.050453765	1
SL1344_0748	SL1344_0748	0.222867049	0.930113549	0
SL1344_0749	gpmA	0.004496826	-1.444399621	2
SL1344_0750	galM	0.370680085	0.723380857	0
SL1344_0752	galT	0.415532681	0.537583224	0
SL1344_0753	galE	1.86e-33	-4.5693797	2
SL1344_0755	modF	1.11e-26	-6.90254797	2
SL1344_0756	modE	0.939549909	-0.06167991	0
SL1344_0758	modA	0.885779618	0.107739174	0
SL1344_0762	ybhE	4.75e-08	-2.772298742	2
SL1344_0763	ybhC	0.002792037	-1.508473602	2
SL1344_0764	hutI	0.006705807	2.159759768	1
SL1344_0765	hutG	0.017540316	1.245458913	1
SL1344_0766	hutC	0.15988049	1.057571417	0
SL1344_0767	hutU	0.031700922	1.079459412	1
