Locus Tag	Name	InSPI2	InSPI2 LowMg2+	Peroxide shock (InSPI2)	Nitric oxide shock (InSPI2)
SL1344_0263	sciD	2.1	2.8	1.5	1.9
SL1344_0264	sciE	3	3.3	0.8	2
SL1344_0265	sciF	1.8	2.4	1.2	2.5
SL1344_0266	sciG	1.6	0.7	0.4	1
SL1344_0267	sciH	1.9	1.3	0.3	1.6
SL1344_0268	sciI	1.5	1.8	0.4	0.8
SL1344_0270	sciJ	3.6	5.4	1.6	3.6
SL1344_0271	sciK	0.6	0.8	0	0.3
SL1344_0272		4.1	4.8	4.3	5.3
SL1344_0273		0.9	0.9	0.9	2
SL1344_0274	sciK1	0.8	1.3	0.7	0.5
SL1344_0275	sciN	0.3	0.3	0	0.2
SL1344_0276	sciO	0.8	1.4	0.4	0.6
SL1344_0277	sciP	1	0.7	0.1	0.7
SL1344_0278	sciQ	2.1	2.7	1.3	3.1
SL1344_0279	sciR	1.2	2.9	2.3	3.5
SL1344_0280	sciS	2.1	2.7	0.4	1.8
SL1344_0281	sciT	2	2.1	0.3	1.8
SL1344_0282	sciU	2.3	5.3	0.7	3.9
SL1344_0283	sciV	5.2	7	5.2	6.8
SL1344_0284	vgrS	1.4	1.8	1.4	1.8
SL1344_0285	sciW	0.8	1.2	0.2	1
SL1344_0286		12.5	22.9	5.4	20.9
SL1344_0286A		98.8	197.2	28.2	222.5
SL1344_0286B		54.4	98.9	24.4	83.8
SL1344_0288	sciX	26.4	58	6.1	105
SL1344_0289	sciY	2.6	5.2	1.7	12.7
IsrA	IsrA	0.4	0	0.2	0
SL1344_0291		6.6	11.5	3.2	27.3
SL1344_0292		1	2.8	0.3	2.6
SL1344_0293		7.1	6.8	1.3	6.7
SL1344_0294		0.1	0.3	0.2	0.3
SL1344_0295	safA	12.3	16.2	21.1	55.1
SL1344_0296	safB	4.7	3.9	2.4	9.8
SL1344_0297	safC	7.5	5.9	2	6.8
SL1344_0298	safD	8.2	7	2.1	6.2
SL1344_0299	ybeJ	11.6	9.9	2.4	2.8
SL1344_0300	sinR	17.3	14.3	4	47.8
SL1344_0301		3.8	0.6	1.3	8.7
SL1344_0302	pagN	335.3	389.3	60.4	50.4
SL1344_0303	sciZ	28.8	34	7.6	12.9
STnc1030		7.7	8.4	3.6	14.1
STnc1040		11.2	2.9	0	9.1
SL1344_0304	yafV	28.7	37.2	17.9	23.2
SL1344_0305	fadE	11.4	14.1	11.4	11.7
SL1344_0306	gmhA	94.1	93.6	55.5	70.6
SL1344_0307	yafJ	30.9	21.2	11	23
SL1344_0308	yafK	100.8	52.4	6.9	37.5
SL1344_0309	dbh	11.4	17.5	129.3	32
SL1344_0310		7.2	8	2.7	12.2
SL1344_0311	prfH	6.5	8	6.8	11.7
SL1344_0312	pepD	118.1	83.9	25.9	50.1
SL1344_0313	gpt	133	86.4	12.3	19.9
SL1344_0314	frsA	35.2	57.5	31.5	25
SL1344_0315	crl	254	186.5	81.8	142.2
SL1344_0316	phoE	7.6	80.3	2.8	7.1
SL1344_0317	proB	59.7	34.3	7.3	24.7
SL1344_0318	proA	57.7	35.3	12.2	19.6
SL1344_0319		1.1	1.3	0.9	1.2
SL1344_0320	dhaF	0.8	1.3	1	2.5
SL1344_0322		43	41.7	92.2	78.8
SL1344_0323		0.6	1.7	0.5	2.1
SL1344_0324	leuC2	1.2	1.8	0.5	2.1
SL1344_0325	leuD2	0.8	1	0	0.7
SL1344_0326		3.9	8.1	1.9	3.8
SL1344_0327		6.1	11	6.1	9.8
STnc3270		63.3	59.2	110.1	157.2
SL1344_0328		11.2	12.6	5.4	11.3
SL1344_0329		8.6	13.8	16	16.3
SL1344_0330		4.8	5.5	4.8	13.6
SL1344_0331	stbE	6.9	11.5	3.2	12
SL1344_0332	stbD	6.1	11.4	3.5	5.9
SL1344_0333	stbC	3.8	6	1.9	4.3
SL1344_0334	stbB	0.4	0.2	0.1	0.2
SL1344_0335	stbA	0.3	0.4	0.2	0.3
SL1344_0336		29.1	13.2	4.9	27.7
SL1344_0337		14	5.8	1.5	14.6
STnc1700		206	162.2	55.8	119.3
SL1344_0338		9	16.3	5.9	21.2
SL1344_0339		44	58.7	38	110.7
SL1344_0340		26.2	26.2	6.3	78.8
SL1344_0341		1.9	2	0.2	6.7
SL1344_0342		1.5	1.5	0.7	6.9
SL1344_0343		3.1	6.7	1.6	4.7
SL1344_0344		6.5	10.3	5.8	9.6
SL1344_0345		1.5	1.7	1.3	2
SL1344_0346		1	0.9	0.3	0.7
SL1344_0347		0.6	0.5	0	0.4
SL1344_0348		3.8	2.5	2.4	19.1
SL1344_0349		6.7	6.3	2.1	34.4
SL1344_0350		40	39.8	16.8	141.2
SL1344_0351		7.5	10.9	7.2	17.2
SL1344_0352	mod	28.9	20.3	5.7	17.2
SL1344_0353	res	20.8	16	5.9	11
SL1344_0354		142.3	454.6	106.8	286.4
SL1344_0355		23.6	38.5	2.4	19.9
SL1344_0356		32.2	60.9	6.1	27.7
SL1344_0357		14.5	24.4	2.4	9.7
SL1344_0358		11.3	6.4	51.5	13.6
SL1344_0359	foxA	4.8	5	5.4	6
SL1344_0360	yahN	27.2	38	23.5	29.8
SL1344_0361	yahO	172.3	356.4	48	148.5
SL1344_0362	prpR	2.5	2.7	0.8	3.3
SL1344_0363	prpB	1.9	1.3	1.1	1.7
STnc3280		85.3	121.2	89.6	177.4
SL1344_0364	prpC	1.6	2.8	2.7	2.7
SL1344_0365	prpD	1.6	1.5	0.8	2.3
SL1344_0366	prpE	2.2	2.4	1.1	2.3
SL1344_0367	hemB	47.6	31.6	15.7	24.3
SL1344_0368	yaiU	21.6	26.3	8.6	24.2
SL1344_0369	yaiV	7.3	12.6	6.7	22
SL1344_0370	ampH	30.2	28.2	5.5	21.6
SL1344_0371	sbmA	22.6	22.7	3.9	12.6
SL1344_0372	yaiW	18.9	17.5	2.8	11.9
SL1344_0373	yaiY	18.1	135.9	8.8	5.3
SL1344_0374	yaiZ	57.2	62.2	114.4	79.9
SL1344_0375	ddlA	45	24.6	7.7	18.4
SL1344_0376		7.2	17.6	4.6	10.2
SL1344_0377		10.8	18.1	2.8	20.2
SL1344_0378	yaiB	701.3	1047.2	231.3	346.1
STnc4150		31.2	83.4	44	135.7
SL1344_0379	psiF	93.4	264.8	79.5	96.7
SL1344_0380	adrA	13.6	29.3	8	17.8
SL1344_0381	proC	45.1	35.4	27.2	31.1
SL1344_0382	yaiI	17.1	12	3.8	7.8
SL1344_0383	aroL	107.1	59.3	97.6	79.4
SL1344_0384	yaiA	243.4	296.9	200.1	348.7
SL1344_0385	aroM	44.2	76.6	19.7	54
SL1344_0386	yaiE	150.3	167	63.7	220
SL1344_0387	rdgC	48.6	35.4	7.3	15.1
SL1344_0388	yajF	21.6	18.8	10.2	13.9
SL1344_0389	araJ	10.6	16.4	4.9	12.3
SL1344_0390	sbcC	7.7	7.7	2.1	6.8
SL1344_0391	sbcD	8.9	10.7	1.4	8
SL1344_0392	phoB	169.1	380.7	20.8	77.3
SL1344_0393	phoR	60.8	142	4.1	31.9
SL1344_0394	brnQ	79.3	70.5	53.7	78
SL1344_0395	proY	23.5	15.5	6.5	10.5
SL1344_0396	malZ	7.6	9.2	2.4	7
SL1344_0397	tsaA	450.3	514	110.4	78.3
SL1344_0398	yajB	60.2	61.9	47.7	28.5
SL1344_0399	queA	33.4	12.6	2	5.5
SL1344_0400	tgt	105	33.9	10.9	29.5
SL1344_0401	yajC	383.7	106.9	52.6	87.9
SL1344_0402	secD	137.3	52.3	22.5	51.4
SL1344_0403	secF	122.4	43.3	22.2	40
SL1344_0404		16.3	22.3	11.9	15.6
SL1344_0405		8.3	10.8	4.1	10.3
